Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
785	1589	158.89999	10	318	1460.5	1020	-1
786	2267	174.38461	13	1365	1468	1023	-1
787	2241	172.38461	13	551	1478.5	1024	-1
788	2642	203.23077	13	799.5	1508	1030	-1
789	27900	306.59341	91	811	1519	1030	-1
790	70545	538.51147	131	387	1511	1033	-1
791	2525	210.41667	12	1158	1528	1034	-1
792	44753	410.57797	109	1158	1542.5	1034	-1
793	6165	268.04349	23	1148	1550.5	1034	-1
794	17882	162.56363	110	692.5	1540	1035	-1
795	7355	216.32353	34	703	1538	1035	-1
796	8599	156.34546	55	1586	1550.5	1038	-1
797	5684	210.51852	27	9	1548.5	1039	-1
798	68379	343.61307	199	510	1550.5	1040	-1
799	1926	192.60001	10	790	1542.5	1042	-1
800	2874	221.07692	13	803	1571.5	1042	-1
801	29755.998	313.22104	95	1175	1601.5	1050	-1
802	28051	369.0921	76	1170.5	1614	1050	-1
803	3820	201.05263	19	1176	1622	1050	-1
804	7234	164.40909	44	1540	1626	1055	-1
805	5867	167.62857	35	1565	1644.5	1055	-1
806	66305	663.04999	100	551	1618	1056	-1
807	5440	302.22223	18	546.5	1639	1056	-1
808	5445	236.73914	23	110	1626.5	1058	-1
809	87560	506.12717	173	117	1642.5	1058	-1
810	1826	152.16667	12	1994.5	1646	1061	-1
811	107035.99	681.75793	157	701	1682.5	1065	-1
812	1969	196.89999	10	684	1679	1065	-1
813	32273.002	174.44865	185	542.5	1691	1066	-1
814	2151	153.64285	14	556	1694.5	1066	-1
815	7634.0005	165.95653	46	541.5	1705.5	1066	-1
816	8887	158.69643	56	873	1694.5	1067	-1
817	10985	169	65	866	1702.5	1067	-1
818	5090	154.24243	33	1419	1692	1069	-1
819	2734	160.82353	17	936.5	1688	1070	-1
820	9508	339.57144	28	1230	1712	1074	-1
821	9625	267.36111	36	1227	1724.5	1074	-1
822	34879	211.38788	165	1218.5	1732	1074	-1
823	3037	189.8125	16	283.5	1710.5	1076	-1
824	9448	165.75438	57	252.5	1722	1076	-1
825	2617	153.94118	17	76	1723.5	1079	-1
826	1960	163.33333	12	49	1738	1079	-1
827	13648	162.4762	84	2045	1766.5	1081	-1
828	20040	238.57143	84	1292.5	1764	1083	-1
829	15913	256.66129	62	1304	1773.5	1083	-1
830	9598	204.21277	47	758	1765.5	1086	-1
831	8359	261.21875	32	746	1764.5	1086	-1
832	6955	204.55882	34	770.5	1787.5	1086	-1
833	2116	192.36363	11	772	1806	1086	-1
834	4270	224.73685	19	721	1776	1089	-1
835	9002	195.69565	46	711	1779.5	1089	-1
836	8439	200.92857	42	723	1783.5	1089	-1
837	2542	169.46666	15	704	1786.5	1089	-1
838	11238	261.34885	43	722.5	1793.5	1089	-1
839	5057	174.3793	29	720.5	1800	1089	-1
840	4576	176	26	720	1805.5	1089	-1
841	18351	238.32468	77	708.5	1809.5	1089	-1
842	12700	218.96552	58	716.5	1813.5	1089	-1
843	3722	177.2381	21	937	1786.5	1091	-1
844	30063	300.63	100	911.5	1811.5	1091	-1
845	71688	414.3815	173	89.5	1805	1093	-1
846	3578	223.625	16	613.5	1805.5	1094	-1
847	1755	159.54546	11	1463.5	1799	1095	-1
848	2138	152.71428	14	1470.5	1801	1095	-1
849	6762	177.94737	38	264	1818.5	1096	-1
850	10911.001	294.89191	37	275	1819	1096	-1
851	13153	156.58333	84	1606.5	1830	1099	-1
852	1829	152.41667	12	1591	1833.5	1099	-1
853	1883	156.91667	12	1050.5	1850	1104	-1
854	16617	162.91176	102	1035.5	1865	1104	-1
855	5017	185.81482	27	1047.5	1866.5	1104	-1
856	7737	164.61702	47	1036.5	1872.5	1104	-1
857	4458	159.21428	28	963	1866.5	1105	-1
858	1754	159.45454	11	961	1872	1105	-1
859	3239	161.95	20	966	1883	1105	-1
860	1553	155.3	10	766	1895	1106	-1
861	4056	169	24	678.5	1884	1108	-1
862	5813	161.47223	36	1113	1877.5	1109	-1
863	3281	156.2381	21	1115	1884	1109	-1
864	4152	159.69231	26	1401	1877	1110	-1
865	14648	190.23376	77	64.5	1884	1111	-1
866	9150	194.68085	47	49	1885	1111	-1
867	17883	223.53751	80	46.5	1893.5	1111	-1
868	5744	179.5	32	279	1894.5	1113	-1
869	22376	422.18869	53	315	1897.5	1113	-1
870	8063	187.51163	43	284	1901.5	1113	-1
871	8601	204.78572	42	287	1908.5	1113	-1
872	94838	488.85568	194	397	1924	1116	-1
873	31981.998	385.32529	83	421	1915	1117	-1
874	43515	565.12988	77	437.5	1937.5	1117	-1
875	7603	200.07895	38	417	1936.5	1117	-1
876	18750	234.375	80	1572	1959.5	1120	-1
877	17393	161.0463	108	1052.5	1939.5	1122	-1
878	4569	169.22223	27	1037	1938.5	1122	-1
879	11285	201.51785	56	1037	1949	1122	-1
880	11706	160.35617	73	927	1961.5	1123	-1
881	1873	156.08333	12	915.5	1983	1123	-1
882	11675	179.61539	65	300.5	1958.5	1125	-1
883	19751	181.20183	109	299.5	1969.5	1125	-1
884	2238	186.5	12	318	1979	1125	-1
885	3920	170.43478	23	305	1981.5	1125	-1
886	8382	190.5	44	1120	1962	1126	-1
887	1950	162.5	12	1115	1974	1126	-1
888	7937.9995	158.75999	50	1109.5	1981	1126	-1
889	5581	174.40625	32	1116	1983.5	1126	-1
890	6177	158.38461	39	1190.5	1980.5	1127	-1
891	8229	235.11429	35	188.5	1984.5	1129	-1
892	8615	165.67308	52	176.5	2010	1129	-1
893	3315.9998	157.90475	21	83.5	1997.5	1130	-1
894	25251	203.6371	124	96.5	2022.5	1130	-1
895	63816	465.81021	137	584	2023	1131	-1
896	13406	252.94339	53	557.5	2024.5	1131	-1
897	6062	168.38889	36	756	2017	1132	-1
898	1846	167.81818	11	745.5	2022.5	1132	-1
899	51873	362.74826	143	766.5	2028.5	1132	-1
900	4636	185.44	25	740.5	2037	1132	-1
901	4467	159.53572	28	491	2037	1136	-1
902	4694	223.5238	21	485.5	2045.5	1136	-1
903	1721	156.45454	11	493	2046.5	1136	-1
904	7405	308.54166	24	403	2032	1137	-1
905	38725	416.39786	93	400	2043.5	1137	-1
906	30977.998	190.04907	163	686.5	2042	1138	-1
907	6184	268.86957	23	1386.5	2046.5	1140	-1
908	47539	243.78975	195	883	5.5	1142	-1
909	74196	390.50525	190	980	30.5	1151	-1
910	8022	186.55814	43	2031.5	35.5	1152	-1
911	2153	165.61539	13	308	35.5	1153	-1
912	1782	178.2	10	1509	105.5	1157	-1
913	14634.001	162.60001	90	218.5	145	1176	-1
914	5598	233.25	24	1375	185.5	1177	-1
915	1888	188.8	10	1352	188.5	1177	-1
916	21884	521.04761	42	500.5	168	1184	-1
917	1522	152.2	10	1818	198	1185	-1
918	6529.0005	167.41026	39	22	190	1188	-1
919	5320	156.47058	34	29.5	204.5	1188	-1
920	2575	183.92857	14	8.5	206.5	1188	-1
921	16877	411.63416	41	513	221	1197	-1
922	15595	167.68817	93	513.5	233.5	1197	-1
923	2500	156.25	16	499.5	244	1197	-1
924	26405	432.86887	61	787.5	301.5	1199	-1
925	3227.9998	169.89473	19	612	257	1200	-1
926	9734	304.1875	32	632.5	267	1200	-1
927	152444	1172.6461	130	622.5	272.5	1200	-1
928	6861	167.34146	41	1875.5	256	1201	-1
929	6901	156.84091	44	1874.5	265.5	1201	-1
930	2936	183.5	16	443.5	260.5	1203	-1
931	1536	153.60001	10	55.5	258.5	1205	-1
932	15552	158.69388	98	56	274.5	1205	-1
933	30248	360.09525	84	393	261.5	1207	-1
934	2507	156.6875	16	1452.5	286.5	1214	-1
935	17949	170.94286	105	1446	295.5	1214	-1
936	6624	161.56097	41	1466.5	299	1214	-1
937	5729.0005	154.83784	37	1458	300	1214	-1
938	6667	155.04651	43	1450.5	307	1214	-1
939	2300	164.28572	14	1471.5	311	1214	-1
940	61846	347.44943	178	357.5	299	1215	-1
941	5243	174.76666	30	1826.5	302	1216	-1
942	1553	155.3	10	1835	303	1216	-1
943	2483	155.1875	16	1841	305.5	1216	-1
944	5494	156.97144	35	509	310.5	1217	-1
945	2639	175.93333	15	1374.5	306	1218	-1
946	2263	188.58333	12	1314	340	1219	-1
947	11984	166.44444	72	443.5	330	1223	-1
948	2844	177.75	16	771	330	1228	-1
949	30417	200.11185	152	757	337	1228	-1
950	1914	159.5	12	570.5	373	1231	-1
