Object ID	Elongation Factor 	Circularity 	Mean Intensity DAPI	Total Intensity DAPI	Total Intensity telo 550	Mean Intensity telo 550	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	telo550_spots  Counts 	53bp1_spots  Counts 	Well 	Center X 	Center Y 	Area 	total_intensity_telo 	total_intensity_bp1 	mean-550-withoutspots 	total_area_telo 	area_dif_telo 	int_dif_telo 	mean-53bp1-withoutspots 	int_dif_telo 	area_dif_telo 	Parent Object ID (Well)	Parent Trace ID
33	1.9169728	0.93357165	383.04883	509838	53658	40.314049	188006	141.25169	0	0	6	323	189	1331	0	0	40.31405	0	1331	53658	141.25169	188006	1331	5	-1
34	1.7212726	0.97242979	372.27536	781406	51127	24.35779	294557	140.33206	2	0	6	1015.5	195	2099	2968.0001	0	23.366812	38	2061	48159	140.33206	291589	2099	5	-1
35	1.9819495	0.95924009	359.40518	792129	46131	20.93058	233283	105.84528	1	0	6	211	210	2204	1729	0	20.386593	26	2178	44402	105.84528	231554	2204	5	-1
36	2.004158	0.95306917	255.79143	614411	69367	28.878851	186187	77.513321	0	2	6	719.5	216	2402	0	67590	28.878851	0	2402	69367	52.314513	186187	2267	5	-1
37	1.4315134	0.9764128	329.34616	685040	65395	31.439903	334077	160.61394	1	0	6	1648.5	214	2080	1526	0	31.019427	21	2059	63869	160.61394	332551	2080	5	-1
38	2.0094877	0.92817477	364.7305	565697	95587	61.629272	250357	161.4165	0	0	6	590	214.5	1551	0	0	61.629271	0	1551	95587	161.41651	250357	1551	5	-1
39	1.9851031	0.96358256	318.50479	829705	108175.01	41.525913	326751	125.43224	1	0	6	1770.5	228	2605	14309	0	36.868031	59	2546	93866.008	125.43225	312442	2605	5	-1
40	1.6458032	0.97362983	396.04745	1093091	267513	96.925003	379121.97	137.36304	2	0	6	1159.5	259	2760	18879	0	93.401202	98	2662	248634	137.36303	360242.97	2760	5	-1
41	1.7801628	0.97169291	368.87589	992645	117164	43.539204	467036	173.55481	2	0	6	1967.5	262.5	2691	16823	0	38.622402	93	2598	100341	173.55481	450213	2691	5	-1
42	1.8748828	0.95845018	501.83295	1066395	178637	84.064468	299440.03	140.91295	2	0	6	1447.5	265	2125	24749	0	76.371216	110	2015	153888	140.91296	274691.03	2125	5	-1
43	1.7375271	0.97565045	243.3495	446303	55837	30.445475	169196	92.25518	2	2	6	25.5	266	1834	11066	5273	25.351642	68	1766	44771	91.068333	158130	1800	5	-1
44	2.0475255	0.94815715	318.98813	806083	56751	22.457855	242024.98	95.77562	1	2	6	123	292.5	2527	6739	10468	20.379788	73	2454	50012	94.090607	235285.98	2461	5	-1
45	1.8753943	0.96598938	384.34271	970081	66138	26.203646	283613	112.36648	1	0	6	1677	304	2524	1589	0	25.757781	18	2506	64549	112.36648	282024	2524	5	-1
46	1.6597048	0.86751356	342.53378	1145433	155875	46.613338	406729	121.62949	3	0	6	1080.5	306	3344	20413	0	42.89487	186	3158	135462	121.62949	386316	3344	5	-1
47	1.6180556	0.95955739	311.75748	708313	61133.004	26.907131	231511	101.89745	3	6	6	823	316	2272	9347	73552	23.787783	95	2177	51786.004	80.797442	222164	1955	5	-1
48	1.9684428	0.92759917	262.4122	499108	77329	40.656677	244026	128.29968	2	0	6	1593	315.5	1902	17822	0	32.8043	88	1814	59507	128.29968	226204	1902	5	-1
49	1.9380607	0.94818169	439.17035	1013166	100638	43.622887	369939	160.35501	0	0	6	932.5	324.5	2307	0	0	43.622887	0	2307	100638	160.35501	369939	2307	5	-1
50	2.2518359	0.89441903	222.69933	497733	63909	28.594631	162777	72.830872	1	0	6	1889.5	333	2235	4398	0	27.050455	35	2200	59511	72.830872	158379	2235	5	-1
51	2.0607646	0.86493924	259.61591	606982	122606	52.440548	163615	69.980751	1	1	6	696.5	342.5	2338	10356	39063	48.804348	38	2300	112250	55.381058	153259	2249	5	-1
52	1.6605424	0.97096696	463.98004	1046739	106872	47.372341	340962	151.13564	0	0	6	247	341.5	2256	0	0	47.37234	0	2256	106872	151.13564	340962	2256	5	-1
53	2.25054	0.93023966	220.39626	506691	73083	31.78904	367416	159.81557	3	0	6	1781	355.5	2299	8007	0	29.221374	72	2227	65076	159.81557	359409	2299	5	-1
54	1.8387837	0.93443029	608.05157	1025783	30511	18.085951	99241	58.826912	0	0	6	2024	355	1687	0	0	18.085951	0	1687	30511	58.826912	99241	1687	5	-1
55	1.7956427	0.96788663	288.83173	659114	62207	27.259859	214517	94.003944	1	1	6	48	364.5	2282	5207	59188	25.641026	59	2223	57000	72.178903	209310	2152	5	-1
56	1.5394223	0.97793746	437.29135	555360	113443.99	89.325981	126718	99.777954	0	0	6	482	370.5	1270	0	0	89.325978	0	1270	113443.99	99.777953	126718	1270	5	-1
57	2.0172796	0.94166015	262.0593	583344	101093.99	45.415092	260690	117.11141	3	1	6	1574	388.5	2226	19651	6235	38.470946	109	2117	81442.992	115.71396	241039	2199	5	-1
58	1.6980453	0.97283105	363.88763	702667	67813	35.118073	328706	170.22578	2	0	6	1000.5	406.5	1931	11941	0	30.152186	78	1853	55872	170.22579	316765	1931	5	-1
59	2.0265727	0.93780872	284.27902	521652	50661	27.608175	183686	100.10136	1	0	6	1660.5	427.5	1835	1919	0	26.825537	18	1817	48742	100.10136	181767	1835	5	-1
60	2.1806931	0.9365306	376.33682	757566	52332	25.997019	279315	138.75558	0	0	6	1164	422	2013	0	0	25.997019	0	2013	52332	138.75559	279315	2013	5	-1
61	1.651046	0.94514038	485.68304	573106	29391	24.907627	104216	88.318642	0	1	6	484.5	423.5	1180	0	33953	24.907627	0	1180	29391	70.758308	104216	993	5	-1
62	1.5747242	0.98259567	331.31134	657653	66605	33.554157	227749	114.73502	1	0	6	1921	438.5	1985	23762	0	22.407427	73	1912	42843	114.73501	203987	1985	5	-1
63	2.1109846	0.94086787	306.25174	529203	48374	27.994213	154100	89.178238	3	1	6	1811	439	1728	12172	19371	21.940606	78	1650	36202	83.578784	141928	1612	5	-1
64	2.2816092	0.91125644	361.11761	500509	32354.002	23.343435	124406	89.759018	1	1	6	2030	446.5	1386	877	14617.001	22.925712	13	1373	31477.002	84.583204	123529	1298	5	-1
65	1.906327	0.95583101	488.6304	588311	60807	50.504154	122549	101.78488	1	0	6	592.5	455.5	1204	3365.9998	0	49.136869	35	1169	57441	101.78488	119183	1204	5	-1
66	1.5784934	0.97406919	482.133	830233	55527.996	32.246223	245521	142.57898	1	0	6	326	468.5	1722	8799	0	28.703315	94	1628	46728.996	142.57898	236722	1722	5	-1
67	1.7201754	0.96570462	489.90405	556531	34706	30.551056	87882	77.360916	1	1	6	550	474	1136	3234	10713	28.820513	44	1092	31472	72.188026	84648	1069	5	-1
68	1.7882535	0.95378923	418.85376	529850	55032.004	43.503559	162304	128.30356	2	0	6	1822	471.5	1265	18268	0	30.283364	51	1214	36764.004	128.30356	144036	1265	5	-1
69	2.0102506	0.95080884	306.26276	533816	49215	28.2358	210526	120.78371	1	0	6	1709	484.5	1743	697	0	27.996538	10	1733	48518	120.78371	209829	1743	5	-1
70	1.6583777	0.97367235	304.18161	509200	52907	31.605137	224697	134.2276	0	0	6	89	491	1674	0	0	31.605137	0	1674	52907	134.2276	224697	1674	5	-1
71	1.7426273	0.96801803	378.70404	564269	42371	28.436913	170981	114.75235	0	0	6	935.5	494	1490	0	0	28.436913	0	1490	42371	114.75235	170981	1490	5	-1
72	1.6575281	0.9596621	246.56625	537761	145242	66.594223	194885	89.355797	2	3	6	216	501	2181	11602	73383	64.936832	123	2058	133640	59.882701	183283	2029	5	-1
73	1.8321364	0.97074576	488.66742	1084353	101744	45.851284	330003	148.717	2	0	6	1568	500.5	2219	20007	0	38.573384	100	2119	81737	148.71699	309996	2219	5	-1
74	1.4936575	0.9723378	382.48724	719076	86234	45.869148	313785	166.90692	1	0	6	445.5	505.5	1880	960	0	45.674344	13	1867	85274	166.90691	312825	1880	5	-1
75	1.6347342	0.89745334	352.83508	537015	30670	20.151117	85585	56.23193	0	1	6	1977	513	1522	0	5694	20.151117	0	1522	30670	53.58216	85585	1491	5	-1
76	2.0422078	0.95217976	764.57001	1168263	47181	30.877617	138769	90.817406	2	1	6	862	521	1528	3285	14622	29.679513	49	1479	43896	86.39318	135484	1437	5	-1
77	1.5838207	0.9706593	536.06818	1092507	52470	25.745829	275445	135.15456	2	0	6	1130.5	521.5	2038	7373	0	22.845491	64	1974	45097	135.15456	268072	2038	5	-1
78	1.8473934	0.86174721	397.88287	397485	23999	24.023024	60270	60.33033	1	0	6	2030.5	519.5	999	2725	0	22.183525	40	959	21274	60.33033	57545	999	5	-1
