Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Parent Object ID (MO)	Parent Trace ID
160	1711	155.54546	11	204	-1
161	2850	158.33333	18	204	-1
162	1578	157.8	10	204	-1
163	3587	170.80952	21	205	-1
164	3453	181.73685	19	206	-1
165	5564	231.83333	24	206	-1
166	1817	181.7	10	207	-1
167	1932	193.2	10	207	-1
168	78039	634.46344	123	207	-1
169	1916.9999	174.27272	11	207	-1
170	4359	167.65384	26	207	-1
171	2941	245.08333	12	207	-1
172	24647	171.15973	144	210	-1
173	2150	153.57143	14	210	-1
174	3510	159.54546	22	210	-1
175	1532	153.2	10	210	-1
176	2854	158.55556	18	210	-1
177	2265	161.78572	14	210	-1
178	14552	202.11111	72	215	-1
179	11439	187.5246	61	215	-1
180	1935	161.25	12	218	-1
181	23899	219.25688	109	218	-1
182	3131	173.94444	18	218	-1
183	19436	192.43564	101	218	-1
184	5297	182.65517	29	218	-1
185	22366	201.4955	111	218	-1
186	13347	190.67143	70	218	-1
187	2186	198.72728	11	220	-1
188	23373	216.41667	108	220	-1
189	2655	165.9375	16	220	-1
190	1544	154.39999	10	220	-1
191	18585	235.25316	79	224	-1
192	14078	190.24324	74	224	-1
193	3667	174.61905	21	224	-1
194	28609	230.71774	124	225	-1
195	3364	210.25	16	227	-1
196	51456	408.38095	126	228	-1
197	50078.004	269.23657	186	233	-1
198	2418	161.2	15	234	-1
199	14217	218.72308	65	234	-1
200	71276	692	103	236	-1
201	3028	178.11765	17	236	-1
202	3009	167.16667	18	240	-1
203	4177	232.05556	18	240	-1
204	12972	202.6875	64	242	-1
205	5272	181.79311	29	244	-1
206	2553	159.5625	16	246	-1
207	25589	171.73825	149	248	-1
208	18321	160.71053	114	250	-1
209	15898.999	163.90721	97	250	-1
210	28570.998	583.0816	49	253	-1
211	7025	180.1282	39	253	-1
212	2819	165.82353	17	253	-1
213	3329	184.94444	18	255	-1
214	8583	175.16327	49	255	-1
215	25674	435.15256	59	257	-1
216	16841	358.31915	47	257	-1
217	35473	369.51041	96	257	-1
218	4158	154	27	260	-1
219	4728	175.11111	27	266	-1
220	5150	183.92857	28	266	-1
221	41294	439.29788	94	266	-1
222	5634	216.69231	26	266	-1
223	12390	196.66667	63	267	-1
224	8445	156.38889	54	268	-1
225	5350	222.91667	24	270	-1
226	3209	160.45	20	270	-1
227	29144	428.58823	68	270	-1
228	2725	160.29411	17	272	-1
229	1959	178.09091	11	273	-1
230	2759	183.93333	15	273	-1
231	85159	599.71124	142	273	-1
232	11136.001	161.39131	69	275	-1
233	10193	208.0204	49	275	-1
234	2044	185.81818	11	280	-1
235	2121	163.15384	13	287	-1
236	1902	172.90909	11	289	-1
237	35365	380.26883	93	291	-1
238	3609	225.5625	16	291	-1
239	17140	290.50848	59	291	-1
240	9176	269.88235	34	294	-1
241	2768	162.82353	17	294	-1
242	1586	158.60001	10	294	-1
243	1947	162.25	12	294	-1
244	10523	169.7258	62	297	-1
245	7415	176.54762	42	298	-1
246	30465	262.6293	116	298	-1
247	21104.002	270.56412	78	298	-1
248	1945	176.81818	11	298	-1
249	5190	157.27272	33	301	-1
250	25750	195.07576	132	305	-1
251	6399	164.07692	39	306	-1
252	5620	160.57143	35	306	-1
253	2184	198.54546	11	306	-1
254	9697	269.36111	36	310	-1
255	1760	160	11	310	-1
256	2198	157	14	314	-1
257	23495.998	166.63829	141	315	-1
258	10532	157.19403	67	317	-1
259	7248	168.55814	43	317	-1
260	8809	204.86046	43	317	-1
261	19844	188.99048	105	318	-1
262	4438	164.37038	27	319	-1
263	13993	155.47778	90	320	-1
264	34603	182.12105	190	322	-1
265	27466.998	197.60431	139	323	-1
266	13266	157.92857	84	325	-1
267	16534	157.46666	105	325	-1
268	2181	155.78572	14	325	-1
269	2746	152.55556	18	325	-1
270	68763	545.7381	126	331	-1
271	67462	351.36459	192	332	-1
272	14421	300.4375	48	332	-1
273	6603	161.04878	41	333	-1
274	13864	157.54546	88	335	-1
275	4674	173.11111	27	339	-1
276	1563	156.3	10	339	-1
277	2044	157.23077	13	340	-1
278	2811	156.16667	18	340	-1
279	3013	200.86667	15	344	-1
280	1568	156.8	10	344	-1
281	4415	163.51852	27	344	-1
282	2215	184.58333	12	344	-1
283	7876.9995	157.53999	50	345	-1
284	11025	157.5	70	345	-1
285	3706	161.13043	23	347	-1
286	1783	162.09091	11	347	-1
287	25084	330.05264	76	348	-1
288	3260	163	20	348	-1
289	75461	794.32629	95	350	-1
290	14802	336.40909	44	350	-1
291	63052.004	318.44446	198	351	-1
292	78455	509.44806	154	352	-1
293	12800	193.93939	66	354	-1
294	18514	215.27907	86	355	-1
295	9176	269.88235	34	357	-1
296	23927	175.93382	136	358	-1
297	33700	189.32584	178	359	-1
298	2813	200.92857	14	360	-1
299	24430	165.06757	148	364	-1
300	11730	165.21127	71	364	-1
301	9868	156.63492	63	364	-1
302	2878	159.88889	18	370	-1
303	8949	157	57	370	-1
304	30318.998	160.41798	189	370	-1
305	12694	158.675	80	370	-1
306	19488	158.43903	123	373	-1
307	7045	160.11363	44	373	-1
308	6401	156.12195	41	373	-1
309	4191	155.22223	27	373	-1
310	32347	296.76147	109	375	-1
311	2113	162.53847	13	375	-1
312	40071	320.56799	125	376	-1
313	13702	163.11905	84	378	-1
314	4600	170.37038	27	382	-1
315	1556	155.60001	10	382	-1
316	16740	167.39999	100	386	-1
317	11712	156.16	75	387	-1
318	3389	154.04546	22	387	-1
319	2449	153.0625	16	396	-1
320	12197.001	167.0822	73	404	-1
321	8741	164.92453	53	410	-1
322	3581	155.69565	23	411	-1
323	3078	171	18	411	-1
324	8144	159.68628	51	411	-1
325	1796	179.60001	10	412	-1
326	2201	157.21428	14	412	-1
327	6973	166.0238	42	412	-1
328	4040	168.33333	24	414	-1
329	3781.0002	164.39131	23	414	-1
330	1676	167.60001	10	418	-1
331	9572	233.46341	41	418	-1
332	3503	218.9375	16	423	-1
333	6182.9995	281.04544	22	423	-1
334	7360	216.47058	34	423	-1
335	7198	156.47826	46	424	-1
336	2261	161.5	14	425	-1
337	6013	207.34483	29	425	-1
338	3630	201.66667	18	426	-1
339	107757.01	549.78064	196	427	-1
340	2953	155.42105	19	429	-1
341	31799	217.80138	146	429	-1
342	1928	160.66667	12	436	-1
343	2913	182.0625	16	437	-1
344	3703	217.82353	17	437	-1
345	1713	171.3	10	437	-1
346	5521	190.3793	29	438	-1
347	10131	174.67241	58	438	-1
348	3317	195.11765	17	442	-1
349	8144	162.88	50	442	-1
350	19865	162.82787	122	442	-1
351	25724	219.86325	117	443	-1
352	4877	180.62962	27	444	-1
353	1810	164.54546	11	446	-1
354	4763	158.76666	30	451	-1
355	7992	156.70589	51	451	-1
356	21644	204.18867	106	451	-1
357	3961	180.04546	22	451	-1
358	27958	167.41318	167	451	-1
359	32992	170.06186	194	452	-1
360	18817	376.34	50	453	-1
361	60779.996	372.88342	163	453	-1
362	3142	184.82353	17	455	-1
363	10608	168.38095	63	455	-1
364	3251	191.23529	17	455	-1
365	4072	156.61539	26	459	-1
366	6024	167.33333	36	462	-1
367	1896	158	12	463	-1
368	24424	195.392	125	463	-1
369	1716	156	11	466	-1
370	31199	166.83957	187	466	-1
371	1566	156.60001	10	466	-1
372	2843	189.53334	15	466	-1
373	3495	158.86363	22	466	-1
374	2458	153.625	16	467	-1
375	3119	194.9375	16	468	-1
376	2450	163.33333	15	470	-1
377	4011.0002	174.39131	23	470	-1
378	6857	214.28125	32	470	-1
379	12262.999	157.21794	78	471	-1
380	9387	164.6842	57	471	-1
381	8346	166.92	50	471	-1
382	7614	177.06976	43	471	-1
383	135643	725.36365	187	475	-1
384	7797	236.27272	33	477	-1
385	50736	336	151	477	-1
386	10134	191.20755	53	489	-1
387	2232	202.90909	11	489	-1
388	18818	171.07272	110	492	-1
